"Datas","Pontos"
1967-12-29,1e-10
1968-01-01,NA
1968-01-02,1e-10
1968-01-03,1e-10
1968-01-04,9.9e-11
1968-01-05,9.7e-11
1968-01-08,9.7e-11
1968-01-09,9.8e-11
1968-01-10,9.7e-11
1968-01-11,1e-10
1968-01-12,1.01e-10
1968-01-15,1.03e-10
1968-01-16,1.03e-10
1968-01-17,1.02e-10
1968-01-18,1.03e-10
1968-01-19,1.04e-10
1968-01-22,1.05e-10
1968-01-23,1.06e-10
1968-01-24,1.07e-10
1968-01-25,NA
1968-01-26,1.08e-10
1968-01-29,1.08e-10
1968-01-30,1.08e-10
1968-01-31,1.07e-10
1968-02-01,1.07e-10
1968-02-02,1.08e-10
1968-02-05,1.08e-10
1968-02-06,1.09e-10
1968-02-07,1.09e-10
1968-02-08,1.09e-10
1968-02-09,1.1e-10
1968-02-12,1.1e-10
1968-02-13,1.11e-10
1968-02-14,1.11e-10
1968-02-15,1.13e-10
1968-02-16,1.14e-10
1968-02-19,1.16e-10
1968-02-20,1.17e-10
1968-02-21,1.2e-10
1968-02-22,1.22e-10
1968-02-23,1.23e-10
1968-02-26,NA
1968-02-27,NA
1968-02-28,NA
1968-02-29,1.23e-10
1968-03-01,1.24e-10
1968-03-04,1.27e-10
1968-03-05,1.28e-10
1968-03-06,1.26e-10
1968-03-07,1.27e-10
1968-03-08,1.27e-10
1968-03-11,1.28e-10
1968-03-12,1.28e-10
1968-03-13,NA
1968-03-14,NA
1968-03-15,NA
1968-03-18,1.29e-10
1968-03-19,1.29e-10
1968-03-20,1.3e-10
1968-03-21,1.28e-10
1968-03-22,1.29e-10
1968-03-25,1.28e-10
1968-03-26,1.26e-10
1968-03-27,1.28e-10
1968-03-28,1.31e-10
1968-03-29,1.34e-10
1968-04-01,1.34e-10
1968-04-02,1.33e-10
1968-04-03,1.35e-10
1968-04-04,1.4e-10
1968-04-05,1.42e-10
1968-04-08,1.44e-10
1968-04-09,1.51e-10
1968-04-10,1.51e-10
1968-04-11,1.49e-10
1968-04-12,NA
1968-04-15,1.47e-10
1968-04-16,1.48e-10
1968-04-17,1.47e-10
1968-04-18,1.46e-10
1968-04-19,1.47e-10
1968-04-22,1.48e-10
1968-04-23,1.5e-10
1968-04-24,1.52e-10
1968-04-25,1.57e-10
1968-04-26,1.59e-10
1968-04-29,1.61e-10
1968-04-30,1.64e-10
1968-05-01,NA
1968-05-02,1.69e-10
1968-05-03,1.71e-10
1968-05-06,1.72e-10
1968-05-07,1.74e-10
1968-05-08,1.78e-10
1968-05-09,1.77e-10
1968-05-10,1.79e-10
1968-05-13,1.79e-10
1968-05-14,1.82e-10
1968-05-15,1.84e-10
1968-05-16,1.86e-10
1968-05-17,1.85e-10
1968-05-20,1.83e-10
1968-05-21,1.85e-10
1968-05-22,1.8e-10
1968-05-23,1.75e-10
1968-05-24,1.72e-10
1968-05-27,1.71e-10
1968-05-28,1.69e-10
1968-05-29,1.77e-10
1968-05-30,1.79e-10
1968-05-31,1.78e-10
1968-06-03,1.73e-10
1968-06-04,1.66e-10
1968-06-05,1.68e-10
1968-06-06,1.66e-10
1968-06-07,1.68e-10
1968-06-10,1.68e-10
1968-06-11,1.65e-10
1968-06-12,1.62e-10
1968-06-13,NA
1968-06-14,1.61e-10
1968-06-17,1.61e-10
1968-06-18,1.6e-10
1968-06-19,1.6e-10
1968-06-20,1.61e-10
1968-06-21,1.59e-10
1968-06-24,1.58e-10
1968-06-25,1.57e-10
1968-06-26,1.56e-10
1968-06-27,1.59e-10
1968-06-28,1.63e-10
1968-07-01,1.66e-10
1968-07-02,1.66e-10
1968-07-03,1.63e-10
1968-07-04,1.6e-10
1968-07-05,1.61e-10
1968-07-08,1.62e-10
1968-07-09,1.64e-10
1968-07-10,1.64e-10
1968-07-11,1.61e-10
1968-07-12,1.64e-10
1968-07-15,1.66e-10
1968-07-16,1.65e-10
1968-07-17,1.64e-10
1968-07-18,1.64e-10
1968-07-19,1.63e-10
1968-07-22,1.64e-10
1968-07-23,1.63e-10
1968-07-24,1.63e-10
1968-07-25,1.63e-10
1968-07-26,1.63e-10
1968-07-29,1.63e-10
1968-07-30,1.62e-10
1968-07-31,1.62e-10
1968-08-01,1.64e-10
1968-08-02,1.64e-10
1968-08-05,1.65e-10
1968-08-06,1.65e-10
1968-08-07,1.66e-10
1968-08-08,1.65e-10
1968-08-09,1.64e-10
1968-08-12,1.63e-10
1968-08-13,1.62e-10
1968-08-14,1.61e-10
1968-08-15,1.6e-10
1968-08-16,1.59e-10
1968-08-19,1.59e-10
1968-08-20,1.6e-10
1968-08-21,1.61e-10
1968-08-22,1.65e-10
1968-08-23,1.66e-10
1968-08-26,1.67e-10
1968-08-27,1.68e-10
1968-08-28,1.67e-10
1968-08-29,1.67e-10
1968-08-30,1.67e-10
1968-09-02,1.67e-10
1968-09-03,1.7e-10
1968-09-04,1.72e-10
1968-09-05,1.76e-10
1968-09-06,1.75e-10
1968-09-09,1.75e-10
1968-09-10,1.77e-10
1968-09-11,1.78e-10
1968-09-12,1.78e-10
1968-09-13,1.79e-10
1968-09-16,1.8e-10
1968-09-17,1.81e-10
1968-09-18,1.86e-10
1968-09-19,1.9e-10
1968-09-20,1.9e-10
1968-09-23,1.88e-10
1968-09-24,1.88e-10
1968-09-25,1.85e-10
1968-09-26,1.85e-10
1968-09-27,1.85e-10
1968-09-30,1.86e-10
1968-10-01,1.86e-10
1968-10-02,1.86e-10
1968-10-03,1.85e-10
1968-10-04,1.83e-10
1968-10-07,1.83e-10
1968-10-08,1.81e-10
1968-10-09,1.79e-10
1968-10-10,1.78e-10
1968-10-11,1.77e-10
1968-10-14,1.79e-10
1968-10-15,1.78e-10
1968-10-16,1.78e-10
1968-10-17,1.77e-10
1968-10-18,1.77e-10
1968-10-21,1.77e-10
1968-10-22,1.78e-10
1968-10-23,1.79e-10
1968-10-24,1.79e-10
1968-10-25,1.8e-10
1968-10-28,1.81e-10
1968-10-29,1.82e-10
1968-10-30,1.81e-10
1968-10-31,1.8e-10
1968-11-01,1.77e-10
1968-11-04,1.77e-10
1968-11-05,1.74e-10
1968-11-06,1.73e-10
1968-11-07,1.76e-10
1968-11-08,1.79e-10
1968-11-11,1.81e-10
1968-11-12,1.81e-10
1968-11-13,1.8e-10
1968-11-14,1.81e-10
1968-11-15,NA
1968-11-18,1.82e-10
1968-11-19,1.83e-10
1968-11-20,1.84e-10
1968-11-21,1.84e-10
1968-11-22,1.84e-10
1968-11-25,1.83e-10
1968-11-26,1.83e-10
1968-11-27,1.83e-10
1968-11-28,1.81e-10
1968-11-29,1.81e-10
1968-12-02,1.8e-10
1968-12-03,1.8e-10
1968-12-04,1.79e-10
1968-12-05,1.79e-10
1968-12-06,1.79e-10
1968-12-09,1.79e-10
1968-12-10,1.8e-10
1968-12-11,1.79e-10
1968-12-12,1.8e-10
1968-12-13,1.81e-10
1968-12-16,1.81e-10
1968-12-17,1.82e-10
1968-12-18,1.86e-10
1968-12-19,1.85e-10
1968-12-20,1.85e-10
1968-12-23,1.87e-10
1968-12-24,NA
1968-12-25,NA
1968-12-26,1.92e-10
1968-12-27,1.95e-10
1968-12-30,2.0769999695e-10
1968-12-31,NA
1969-01-01,NA
1969-01-02,2.1e-10
1969-01-03,2.16e-10
1969-01-06,2.3e-10
1969-01-07,2.34e-10
1969-01-08,2.28e-10
1969-01-09,2.23e-10
1969-01-10,2.24e-10
1969-01-13,2.25e-10
1969-01-14,2.23e-10
1969-01-15,2.19e-10
1969-01-16,2.13e-10
1969-01-17,2.16e-10
1969-01-20,2.22e-10
1969-01-21,2.27e-10
1969-01-22,2.31e-10
1969-01-23,2.34e-10
1969-01-24,2.33e-10
1969-01-27,2.33e-10
1969-01-28,2.31e-10
1969-01-29,2.31e-10
1969-01-30,2.31e-10
1969-01-31,2.32e-10
1969-02-03,2.36e-10
1969-02-04,2.39e-10
1969-02-05,2.42e-10
1969-02-06,2.42e-10
1969-02-07,2.44e-10
1969-02-10,2.49e-10
1969-02-11,2.54e-10
1969-02-12,2.55e-10
1969-02-13,2.59e-10
1969-02-14,2.64e-10
1969-02-17,NA
1969-02-18,NA
1969-02-19,NA
1969-02-20,2.75e-10
1969-02-21,2.83e-10
1969-02-24,2.83e-10
1969-02-25,2.81e-10
1969-02-26,2.78e-10
1969-02-27,2.84e-10
1969-02-28,2.87e-10
1969-03-03,2.99e-10
1969-03-04,3.07e-10
1969-03-05,3.04e-10
1969-03-06,3.01e-10
1969-03-07,3.02e-10
1969-03-10,3.02e-10
1969-03-11,3.07e-10
1969-03-12,3.09e-10
1969-03-13,3.11e-10
1969-03-14,3.11e-10
1969-03-17,3.13e-10
1969-03-18,3.12e-10
1969-03-19,3.12e-10
1969-03-20,3.1e-10
1969-03-21,3.09e-10
1969-03-24,3.09e-10
1969-03-25,3.03e-10
1969-03-26,2.96e-10
1969-03-27,2.95e-10
1969-03-28,2.97e-10
1969-03-31,2.97e-10
1969-04-01,2.96e-10
1969-04-02,3.01e-10
1969-04-03,NA
1969-04-04,NA
1969-04-07,3.03e-10
1969-04-08,3.04e-10
1969-04-09,3.01e-10
1969-04-10,3.01e-10
1969-04-11,3.05e-10
1969-04-14,3.11e-10
1969-04-15,3.19e-10
1969-04-16,3.31e-10
1969-04-17,3.42e-10
1969-04-18,3.34e-10
1969-04-21,NA
1969-04-22,3.34e-10
1969-04-23,3.33e-10
1969-04-24,3.34e-10
1969-04-25,3.33e-10
1969-04-28,3.31e-10
1969-04-29,3.26e-10
1969-04-30,3.26e-10
1969-05-01,NA
1969-05-02,3.38e-10
1969-05-05,3.41e-10
1969-05-06,3.41e-10
1969-05-07,3.41e-10
1969-05-08,3.41e-10
1969-05-09,3.43e-10
1969-05-12,3.45e-10
1969-05-13,3.45e-10
1969-05-14,3.45e-10
1969-05-15,3.45e-10
1969-05-16,3.49e-10
1969-05-19,3.52e-10
1969-05-20,3.54e-10
1969-05-21,3.57e-10
1969-05-22,3.71e-10
1969-05-23,3.77e-10
1969-05-26,3.82e-10
1969-05-27,3.92e-10
1969-05-28,3.98e-10
1969-05-29,4.13e-10
1969-05-30,4.24e-10
1969-06-02,4.08e-10
1969-06-03,4.02e-10
1969-06-04,4.07e-10
1969-06-05,NA
1969-06-06,4.14e-10
1969-06-09,4.04e-10
1969-06-10,3.91e-10
1969-06-11,3.77e-10
1969-06-12,3.88e-10
1969-06-13,3.96e-10
1969-06-16,4.01e-10
1969-06-17,4.08e-10
1969-06-18,4.07e-10
1969-06-19,4.09e-10
1969-06-20,4.08e-10
1969-06-23,4.09e-10
1969-06-24,4.07e-10
1969-06-25,4e-10
1969-06-26,3.98e-10
1969-06-27,4.03e-10
1969-06-30,4.05e-10
1969-07-01,4.19e-10
1969-07-02,4.27e-10
1969-07-03,4.33e-10
1969-07-04,4.44e-10
1969-07-07,4.62e-10
1969-07-08,4.65e-10
1969-07-09,4.8e-10
1969-07-10,4.81e-10
1969-07-11,4.8e-10
1969-07-14,4.78e-10
1969-07-15,4.8e-10
1969-07-16,4.76e-10
1969-07-17,4.77e-10
1969-07-18,4.76e-10
1969-07-21,4.86e-10
1969-07-22,4.79e-10
1969-07-23,4.83e-10
1969-07-24,4.89e-10
1969-07-25,4.98e-10
1969-07-28,5.09e-10
1969-07-29,5.12e-10
1969-07-30,5.27e-10
1969-07-31,5.35e-10
1969-08-01,5.42e-10
1969-08-04,5.58e-10
1969-08-05,5.69e-10
1969-08-06,5.69e-10
1969-08-07,5.89e-10
1969-08-08,6.16e-10
1969-08-11,6.27e-10
1969-08-12,6.03e-10
1969-08-13,6.06e-10
1969-08-14,6.17e-10
1969-08-15,NA
1969-08-18,6.16e-10
1969-08-19,6.03e-10
1969-08-20,5.85e-10
1969-08-21,5.62e-10
1969-08-22,6.09e-10
1969-08-25,6.14e-10
1969-08-26,6.26e-10
1969-08-27,6.24e-10
1969-08-28,6.06e-10
1969-08-29,6.08e-10
1969-09-01,NA
1969-09-02,5.8e-10
1969-09-03,5.78e-10
1969-09-04,5.62e-10
1969-09-05,5.19e-10
1969-09-08,5.78e-10
1969-09-09,5.83e-10
1969-09-10,5.61e-10
1969-09-11,5.58e-10
1969-09-12,5.48e-10
1969-09-15,5.41e-10
1969-09-16,5.43e-10
1969-09-17,5.58e-10
1969-09-18,5.74e-10
1969-09-19,5.66e-10
1969-09-22,5.64e-10
1969-09-23,5.54e-10
1969-09-24,5.5e-10
1969-09-25,5.53e-10
1969-09-26,5.61e-10
1969-09-29,5.68e-10
1969-09-30,5.65e-10
1969-10-01,5.61e-10
1969-10-02,5.61e-10
1969-10-03,5.54e-10
1969-10-06,5.57e-10
1969-10-07,5.61e-10
1969-10-08,5.65e-10
1969-10-09,5.73e-10
1969-10-10,5.8e-10
1969-10-13,5.94e-10
1969-10-14,6.03e-10
1969-10-15,6.05e-10
1969-10-16,6.05e-10
1969-10-17,5.94e-10
1969-10-20,5.95e-10
1969-10-21,5.84e-10
1969-10-22,5.63e-10
1969-10-23,5.6e-10
1969-10-24,5.59e-10
1969-10-27,5.59e-10
1969-10-28,5.6e-10
1969-10-29,5.54e-10
1969-10-30,5.53e-10
1969-10-31,5.56e-10
1969-11-03,5.59e-10
1969-11-04,5.52e-10
1969-11-05,5.43e-10
1969-11-06,5.37e-10
1969-11-07,5.2e-10
1969-11-10,5.01e-10
1969-11-11,5.02e-10
1969-11-12,5.2e-10
1969-11-13,5.25e-10
1969-11-14,5.27e-10
1969-11-17,5.24e-10
1969-11-18,5.22e-10
1969-11-19,5.16e-10
1969-11-20,5.17e-10
1969-11-21,5.15e-10
1969-11-24,5.07e-10
1969-11-25,5.03e-10
1969-11-26,4.98e-10
1969-11-27,4.97e-10
1969-11-28,4.95e-10
1969-12-01,4.88e-10
1969-12-02,4.82e-10
1969-12-03,4.67e-10
1969-12-04,4.73e-10
1969-12-05,4.87e-10
1969-12-08,4.83e-10
1969-12-09,4.85e-10
1969-12-10,4.84e-10
1969-12-11,4.95e-10
1969-12-12,5.05e-10
1969-12-15,5.11e-10
1969-12-16,5.3e-10
1969-12-17,5.41e-10
1969-12-18,NA
1969-12-19,5.49e-10
1969-12-22,5.6e-10
1969-12-23,5.45e-10
1969-12-24,NA
1969-12-25,NA
1969-12-26,NA
1969-12-29,5.43e-10
1969-12-30,5.49e-10
1969-12-31,NA
1970-01-01,NA
1970-01-02,NA
1970-01-05,5.49e-10
1970-01-06,5.55e-10
1970-01-07,5.7e-10
1970-01-08,5.78e-10
1970-01-09,5.81e-10
1970-01-12,5.72e-10
1970-01-13,5.74e-10
1970-01-14,5.78e-10
1970-01-15,5.75e-10
1970-01-16,5.69e-10
1970-01-19,5.57e-10
1970-01-20,5.57e-10
1970-01-21,5.61e-10
1970-01-22,5.59e-10
1970-01-23,5.58e-10
1970-01-26,5.58e-10
1970-01-27,5.56e-10
1970-01-28,5.56e-10
1970-01-29,5.57e-10
1970-01-30,5.62e-10
1970-02-02,5.69e-10
1970-02-03,5.69e-10
1970-02-04,5.7e-10
1970-02-05,5.79e-10
1970-02-06,5.83e-10
1970-02-09,NA
1970-02-10,NA
1970-02-11,NA
1970-02-12,5.9e-10
1970-02-13,5.92e-10
1970-02-16,5.97e-10
1970-02-17,5.98e-10
1970-02-18,6.02e-10
1970-02-19,6.02e-10
1970-02-20,6.04e-10
1970-02-23,6.03e-10
1970-02-24,6.06e-10
1970-02-25,6.04e-10
1970-02-26,5.98e-10
1970-02-27,6.09e-10
1970-03-02,6.09e-10
1970-03-03,6.21e-10
1970-03-04,6.19e-10
1970-03-05,6.18e-10
1970-03-06,6.18e-10
1970-03-09,6.24e-10
1970-03-10,6.32e-10
1970-03-11,6.25e-10
1970-03-12,6.21e-10
1970-03-13,6.14e-10
1970-03-16,6.13e-10
1970-03-17,6.13e-10
1970-03-18,6.14e-10
1970-03-19,6.14e-10
1970-03-20,6.12e-10
1970-03-23,6.09e-10
1970-03-24,6e-10
1970-03-25,6e-10
1970-03-26,NA
1970-03-27,NA
1970-03-30,5.97e-10
1970-03-31,6.01e-10
1970-04-01,6.06e-10
1970-04-02,6.02e-10
1970-04-03,6.04e-10
1970-04-06,5.98e-10
1970-04-07,5.93e-10
1970-04-08,5.93e-10
1970-04-09,5.99e-10
1970-04-10,5.96e-10
1970-04-13,6.05e-10
1970-04-14,5.98e-10
1970-04-15,5.99e-10
1970-04-16,5.94e-10
1970-04-17,5.94e-10
1970-04-20,6.03e-10
1970-04-21,NA
1970-04-22,6.06e-10
1970-04-23,6.04e-10
1970-04-24,6.07e-10
